"COMPOUND_K";"FELTNR";"STATION_NA";"AREAL_NOR";"AREAL_UTM3";"GRAD_1085";"GRAD_FELT";"GRAD_ELV";"HEIGHT_MIN";"HEIGHT_10";"HEIGHT_20";"HEIGHT_30";"HEIGHT_40";"HEIGHT_50";"HEIGHT_60";"HEIGHT_70";"HEIGHT_80";"HEIGHT_90";"HEIGHT_MAX";"FELT_LE_KM";"ELV_LE_KM";"JORDBRUKPR";"MYRPRO";"EFF_MYR";"EFF_SJO";"SKOGPRO";"BREPRO";"SJOPRO";"SNAUFJPRO";"URBANPRO"
19000002000;2063;"Storfossen";52.693;52.69;14.83;54.23;28.75;194;258;282;328;375;438;511;596;697;800;1328;8.62;13.22;0.83;6.71;0;1.27;37.88;0;5.82;41.9;0
16000002000;1903;"Fykanvatn";315.68;315.68;16.9;22.2;24.27;92;585;585;643;731;822;944;1050;1139;1221;1625;22.86;28.01;0;0.03;0;12.46;0.54;34.28;17.69;46.22;0
16200001000;1931;"Oldereidvatn";49.93;49.93;24.9;0;32.35;41;320;388;398;400;422;450;492;564;655;1113;12.62;17.99;0.04;4.23;0;9.11;48.67;0.28;16.76;25.96;0
24600004000;2211;"Lille Ropelvvatn";48.87;48.87;2.31;0;8.15;52;56;56;67;85;100;119;137;156;182;267;10.24;13.86;0;3.66;0;17.97;33.31;0;27.24;21.01;0
19400001000;2068;"Lysevatn";129.68;129.68;13.12;30.45;14.43;22;62;140;207;237;292;344;407;493;608;971;13.25;18.8;0.22;7.44;0;4.32;34.11;0;11;43.83;0
15600013000;1864;"Bjørnfoss";306.1;306.1;22.83;0;25.36;73;441;644;741;838;924;998;1069;1145;1221;1565;35.84;40.99;0;0.11;0;0.13;7.61;20.39;1.39;65.9;0
21200011000;2149;"Kista";6104.98;6181.8;1.06;14.93;2.24;0;368;389;412;433;449;469;492;522;585;1085;133.09;211.67;0.06;16.08;0;0.39;35.29;0;7.23;32.22;0.01
7600014000;1346;"Fåbergstøl";182.96;182.96;42.51;36.15;32.86;504;886;1197;1263;1338;1425;1480;1531;1583;1671;2081;17.34;23.37;0;0.02;0;1.75;3.66;36.92;7.28;49.97;0.06
19300002000;2067;"Skøvatn ndf.";94.91;94.91;19.27;31.22;22.73;180;193;260;336;413;476;543;609;689;834;1212;11.86;17.3;1.04;3.35;0;3.58;29.67;0.22;7.35;53.78;0
12700013000;1731;"Dillfoss";447.567;479.64;8.22;16.66;10.17;39;271;356;421;469;507;538;565;598;643;1031;33.53;53.19;1.43;21.26;0;0.19;41.09;0;2.65;21.15;0.06
7000008000;1226;"Målset";7.71;7.71;65.4;22.89;53.4;870;963;1032;1050;1063;1079;1104;1151;1224;1257;1365;4.15;6.67;0;2.46;0;2.61;0;0;8.82;88.72;0
1100004000;378;"Elgtjern";6.63;6.63;52.48;20.95;41.73;430;457;475;481;493;510;543;595;615;631;673;4.32;4.22;0;6.03;0;3.62;85.67;0;7.99;0.15;0
10900021000;1577;"Svoni";136.02;136.02;35.15;0;34.28;989;1073;1118;1173;1224;1263;1309;1383;1459;1542;2281;16.72;18.55;0;2.51;0;0.03;0.48;0.96;1.03;87.52;0.04
17000001000;1989;"Rotvatn";242.08;242.08;18.5;29.79;14.36;46;110;181;280;328;407;496;555;640;760;1230;23.6;34.96;0.07;2.64;0;5.45;31.54;0.34;14.98;42.06;0
1900107000;770;"Lilleelv";39.32;39.32;3.9;15.91;7.9;17;41;54;65;78;86;96;105;117;131;205;13.96;17.59;4.05;1.61;0;2.05;87.66;0;5.09;0;0.46
12100009000;1628;"Næverdal";793.85;793.85;8.75;13.96;10.82;480;763;853;901;942;979;1014;1048;1090;1162;1640;35.39;78.81;1.41;20.03;0;0.05;14.71;0;2.5;56.93;0
5000003000;1111;"Eidfjordvatn";1166.92;1166.92;376.63;19.49;335.39;19;974;1077;1138;1186;1226;1257;1292;1334;1391;1853;37.36;3.4;0.17;4.36;0;0.58;5.22;2.2;5.47;80.51;0.01
23400004000;2183;"Smalfjord";30.05;30.05;7.66;0;13.32;20;59;85;103;111;123;142;164;196;240;325;6.81;8.71;0;6.66;0;4.19;56.57;0;16.64;6.66;0
200268000;160;"Akslen";790.9;790.9;17.39;28.94;21.41;476;955;1138;1280;1384;1467;1559;1672;1804;1938;2462;35.94;48.01;0.63;0.38;0;0.06;11.38;10.87;1.9;71.06;0
3900002000;2278;"Kallandsvatnet";7.68;7.68;18.41;0;35.29;10;11;21;27;32;37;44;53;68;101;241;4.88;5.29;1.69;9.51;0;7.91;33.59;0;13.8;0.78;0
15600020000;1870;"Nylaenget";374.55;374.55;13.99;0;16.94;196;606;706;763;835;910;970;1034;1088;1183;1737;39.7;58.72;0;1.03;0;0.96;5.09;0.43;5.46;83.32;0
1200193000;515;"Fiskum";51.6;51.6;-999;16.38;-999;84;171;204;227;252;277;310;338;367;475;649;10.99;-999;4.64;2.98;0;0.11;88.39;0;1.26;0;0.08
20500001000;2111;"Helligskogen";292.92;365.06;12.88;11.54;15.84;324;563;665;721;788;834;875;922;975;1041;1407;28.16;42.05;0;0.43;0;1.07;5.69;0;5.57;64.56;0.01
15600027000;1876;"Leiråga";44.089;44.09;40.31;0;51.89;78;275;346;393;442;494;573;686;855;1015;1287;11.1;11.27;0;0.41;0;0.12;3.52;12.5;2.63;65.64;0
