Stasjonsnummer;Start_dogn;Slutt_dogn;Aktiv;Utlatte_år;Start_fin;Slutt_fin;Utelatte_år_fin
200001;1990;2012;1;;1996;2014;1997
200015;1918;1943;0;;;;
200011;1931;2013;1;1974;1987;2014;1993
200013;1982;2014;1;;1986;2014;
200025;1907;1940;0;;;;
200028;1930;2013;1;;1999;2014;
200032;1917;2014;1;;1986;2014;1995,2003
200036;2000;2014;1;2002, 2003, 2005;2000;2014;2002, 2003, 2005
200061;1996;2014;1;1999, 2001, 2002;1997;2014;1999, 2001, 2002,2006
200122;1888;1895;0;;;;
200129;1909;1954;0;1934,1935,1936;;;
200132;1929;1970;0;1946, 1947, 1948, 1969;;;
200142;1917;2013;1;;2000;2014;
200145;1896;1916;0;;;;
200235;1998;2014;1;;1998;2014;2008
200265;1962;2013;1;1988, 1989, 1990, 1992, 1993, 2011;1999;2014;2002,2011
200267;1962;2013;1;1988, 1989, 1992, 1998;1996;2014;1997,1998
200268;1962;2013;1;;1986;2014;1992,1994,1995,1996,1997,1998
200275;1965;2011;1;2001,2002;1986;2014;2001,2002,2005,2006
200279;1967;2012;1;;1967;2014;1975,1979,1980,1984,1997,1998
200280;1967;2013;1;2004;1986;2014;1996,1998,2002,2004
200284;1967;2013;1;1974,1975,1976,1977,1978;1999;2014;
200290;1967;2013;1;;1986;2014;
200291;1967;2013;1;;1988;2014;
200323;1971;2013;1;;1971;2014;
200331;1999;2012;1;;;;
200415;1976;2012;1;2000,2001,2002,2003,2004,2005,2006,2007;1986;2014;1993,1994,1996,2000:2007
200439;1984;2013;1;1986, 1987, 1994, 1995, 1996, 1997;1988;2014;1989,1994, 1995, 1996, 1997
200451;1989;2013;1;2010;1996;2014;1997,1998,1999,2010
200457;1985;2013;1;1987, 2012;1999;2014;2006,2012
200463;1987;2013;1;1992;1987;2014;1992,2013
200464;1987;2014;1;1996;1987;2014;1991,1995,1996
200465;1987;2014;1;1996;1997;2014;2008
200479;1998;2013;1;;1998;2014;
200578;2003;2013;1;2007, 2010, 2011, 2012;2003;2014;2006,2007, 2010, 2011, 2012
200592;2005;2013;1;;2005;2014;
200603;1903;1916;0;;;;
200604;1872;1912;0;;;;
200607;1980;2012;1;1996;1988;2014;1996,1997
200611;1903;1930;0;1907,1908,1909;;; 
200614;1918;2013;1;;1986;2014;1998,2004
200616;1978;2013;1;1993, 2003;1978;2014;1993, 2003
200633;1980;2013;1;1998;1999;2014;2010,2012
200634;1993;2013;1;;1999;2014;2000
201036;2006;2013;1;2009;2006;2014;2009
300022;1977;2013;1;;1977;2014;1984,1987
600010;1968;2013;1;;1968;2014;
600071;2006;2013;1;2008,2009;2006;2014;1008, 2009
800002;1969;2013;1;;1986;2014;1987, 1989
800006;1972;2013;1;1973, 1974, 1984,1987, 1988, 2001;1972;2014;1973, 1974, 1984, 1985,1986,1987,1988, 2001
1100004;1976;2007;1;1995;1977;2008;1979,1995
1200008;1964;1987;0;1976,1977,1978;;;
1200013;1974;2013;1;2002;1974;2014;1982, 1990, 2002
1200015;1906;1915;0;;;;
1200070;1920;2013;1;;1983;2014;
1200097;1921;1934;0;;;;
1200099;1891;1934;0;;;;
1200113;1976;1988;0;;1986;1988;
1200114;1937;2012;1;1979:2006;2007;2013;
1200137;1952;1956;0;;;;
1200150;1963;2012;1;2002, 2003, 2006, 2007, 2008, 2009, 2010;1963;2014;1964, 1972:1983,1985,2002, 2003, 2006, 2007, 2008, 2009, 2010
1200171;1969;2013;1;;1969;2014;1973,1978,1985,1986
1200178;1972;2012;1;;1971;2014;1974
1200193;1977;2012;1;;1979;2014;1979,1981
1200197;1978;2013;1;2001, 2002, 2003, 2005;1978;2014;1979,1999,2001, 2002, 2003, 2005
1200200;1979;1987;0;;1986;1987;
1200207;1982;2013;1;2002;1982;2014;1991,2002
1200209;1985;2013;1;;1986;2014;
1200212;1987;2012;1;;1987;2014;
1200215;1988;2012;1;;1988;2014;
1200286;1925;2013;1;1939, 1940, 1941, 1955, 1956, 1982, 1983, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007;1986;2014;1939, 1940, 1941, 1955, 1956, 1982, 1983, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007
1500021;1920;2012;1;;1994;2014;
1500049;1963;2012;1;;1963;2014;1970,1971,1974,1976,1982,1992
1500053;1967;2012;1;;2000;2014;2002
1500079;1956;2012;1;;2000;2014;2004
1500174;2009;2012;1;2011;2009;2014;2011
1600010;1922;1955;0;1927,1928;;;1927:1928
1600051;1912;1943;0;;;;
1600066;1950;2014;1;;1953;2014;1957,1964
1600075;1956;2014;1;;1985;2014;1986,2011
1600122;1973;2013;1;2001, 2005;1973;2014;1976,2001, 2005
1600127;1980;2013;1;1993, 1996, 1997, 1998, 1999, 2011;1980;2014;1993, 1996, 1997, 1998, 1999, 2011
1600132;1982;2013;1;2003,2004,2005;1982;2014;2003:2005
1600140;1987;2013;1;1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000, 2003, 2008, 2009;1996;2014;1998, 1999, 2000, 2003, 2008, 2009
1600189;1992;2013;1;2000, 2006;1992;2014;2000, 2006
1600193;1962;2013;1;1976, 1991, 1992, 1993, 1994, 1996, 1997, 1998, 1999, 2002;2000;2014;1976, 1991, 1992, 1993, 1994, 1996, 1997, 1998, 1999, 2002
1600194;1972;2013;1;1999,2000,2001;1991;2014;1999:2001
1800004;2009;2013;1;2012;2009;2014;2012
1800010;1981;2013;1;;1985;2014;1993
1800011;1982;2013;1;1988;1982;2014;1988
1900057;1942;1950;0;;;;
1900063;1957;1962;0;;;;
1900073;1968;2013;1;2007;1968;2014;1978,1986,1992,1995,2007
1900078;2000;2013;1;;1998;2014;
1900079;1971;2013;1;;1971;2014;1979
1900080;1973;2013;1;;1973;2014;1990
1900082;1973;2013;1;;1973;2014;1983,1991,1994
1900096;1975;2013;1;;1975;2014;
1900104;1981;2013;1;;1981;2014;
1900107;1986;2013;1;1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 2002, 2007;1986;2014;1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 2002, 2007
2000002;1925;2013;1;;1985;2014;1992
2000003;1900;2013;1;;;;
2100047;2006;2015;1;2009, 2013;2006;2015;2009, 2013
2200004;1897;1933;0;;;;
2200016;1952;2013;1;1998;1999;2014;1998, 2007
2200022;1974;2014;1;1992;1974;2014;1992
2400008;1979;2014;1;1982, 1994;1995;2014;1982, 1994
2400009;1923;2014;1;;1995;2014;
2500007;1922;1947;0;;;;
2500024;1972;2014;1;1994;1987;2014;1994,1999
2500030;1971;2014;1;;1987;2014;1997
2600005;1914;1967;0;;;;
2600020;1971;2012;1;;1971;2014;2012
2600021;1971;2012;1;;1970;2014;
2600029;1979;2014;1;;1979;2014;1987
2600064;1997;2014;1;2001, 2003, 2009, 2010, 2011;1997;2014;2001, 2003, 2009, 2010, 2011
2700015;1986;2013;1;;1980;2014;1992,1994,1995
2700016;1988;2014;1;1997, 2002;1988;2014; 
2700024;1897;1920;0;;;;
2700025;1983;2014;1;2001,2002;1983;2014;1992,1993,2001,2002
2700042;2008;2014;1;;2008;2014;
2800007;1919;2014;1;;1986;2014;
2900007;2006;2013;1;;2006;2014;
3200006;1915;1943;0;1927,1928,1929,1930,1931,1932,1933,1934,1935;;;1927:1935
3300010;1991;2013;1;2001, 2002, 2003, 2004, 2005, 2009;1991;2014;2001, 2002, 2003, 2004, 2005, 2009
3500002;1906;1980;0;;;;
3500009;1983;2013;1;2010;1983;2014;1986,1989,2010
3500016;1991;2013;1;;1991;2014;
3600002;1914;1965;0;;;;
3600011;1905;1963;0;;;;
3600013;1974;2013;1;;1974;2014;1986
3600032;1986;2013;1;1990, 1992, 1994;1993;2014;1990, 1992, 1994
3700027;1996;2013;1;2005, 2007, 2011;1996;2014;2005, 2006,2007, 2011
3800001;1983;2014;1;2002;1985;2014;2002
3900001;1975;2014;1;2002, 2003, 2010;1975;2014;2002, 2003, 2010
3900002;2006;2014;1;;2006;2014;
4100001;1913;2014;1;;1985;2014;
4200002;1972;2014;1;;1972;2014;
4200016;1998;2013;1;;1998;2014;
4500004;2007;2015;1;;2007;2015;
4600004;1964;1973;0;1970,1971;;;1970:1971
4600009;1981;2013;1;1997, 2003, 2004, 2005;1981;2014;1997, 2003, 2004, 2005
4800001;1909;2013;1;;1997;2013;2007
4800005;1918;2013;1;1923, 1924, 1926, 1927, 1928, 1929;1977;2014;1961,1978,1984
5000001;1923;2013;1;;1962;2013;1978,1984
5000003;1929;1945;0;;;;
5500004;1934;2014;1;;1977;2014;
5500005;1978;2014;1;1997,1998,1999,2000,2001;1978;2014;1997:2001
5500007;1981;1984;0;;;;
6100008;1988;2014;1;;1988;2014;1997,1999
6100013;2008;2014;1;;2008;2014;
6200005;1892;2014;1;;1995;2014;
6200010;1964;2014;1;;1971;2014;
6200014;1984;2013;1;;1985;2013;1986,1994,1997,1998
