"regine" "main" "daily_ams_dates" "FGP" "daily_ams.1" "fine_ams_times" "fine_ams"
1 37 "1914-12-09" NA 48.425167 NA NA
1 37 "1915-04-11" NA 40.547295 NA NA
1 37 "1916-01-27" NA 51.936684 NA NA
1 37 "1917-04-25" NA 48.425167 NA NA
1 37 "1918-10-13" NA 41.174377 NA NA
1 37 "1919-11-28" NA 36.895996 NA NA
1 37 "1920-03-08" NA 58.601326 NA NA
1 37 "1921-12-28" NA 36.305897 NA NA
1 37 "1922-12-31" NA 34.567066 NA NA
1 37 "1923-11-19" NA 49.813492 NA NA
1 37 "1924-09-15" NA 69.858887 NA NA
1 37 "1925-01-03" NA 66.530914 NA NA
1 37 "1926-11-22" NA 43.735981 NA NA
1 37 "1927-10-04" NA 77.676277 NA NA
2 1 "1990-04-27" NA 6.284447 NA NA
2 1 "1991-04-14" NA 6.284447 NA NA
2 1 "1992-05-04" NA 11.547069 NA NA
2 1 "1993-05-04" NA 13.134673 NA NA
2 1 "1994-05-10" NA 9.190115 NA NA
2 1 "1995-05-27" NA 7.940846 NA NA
2 1 "1996-10-19" NA 5.705818 NA NA
2 1 "1997-05-08" NA 16.40497 NA NA
2 1 "1998-04-29" NA 12.402596 893833200 13.409075
2 1 "1999-04-28" NA 5.226975 925340400 5.620767
2 1 "2000-05-02" NA 10.361597 957232800 12.061851
2 1 "2001-05-10" NA 6.603717 989449200 7.550856
2 1 "2002-04-24" NA 7.97236 1019602800 9.19035
2 1 "2002-05-02" NA 7.411185 1020279600 9.633746
2 1 "2003-05-07" NA 7.631213 1052269200 8.729534
2 1 "2004-04-27" NA 8.931619 1083027600 10.001937
2 1 "2005-11-04" NA 8.255469 1131123600 11.306133
2 1 "2006-09-04" NA 10.382213 1157346000 12.745007
2 1 "2007-04-26" NA 8.92697 1177624800 9.769419
2 1 "2008-04-30" NA 10.409417 1209520800 11.650416
2 1 "2008-05-03" NA 10.732836 1209772800 11.393455
2 1 "2009-04-28" NA 8.82314 1240876800 9.468553
2 1 "2009-11-24" NA 8.644526 1259056800 9.929883
2 1 "2010-06-13" NA 7.379414 1276365600 11.681278
2 1 "2010-09-25" NA 7.642576 1285394400 8.827182
2 1 "2011-09-06" NA 7.117255 1315263600 8.720401
2 1 "2012-05-11" NA 8.2391 1336712400 9.023923
2 1 "2012-11-12" NA 8.658179 NA NA
2 1 "2013-04-19" NA 8.873301 1366340400 9.778746
2 1 "2014-05-25" NA 11.478114 1401040800 16.414686
2 1 "2014-10-25" NA 11.736958 1414173600 14.825444
2 1 "2015-09-18" NA 12.538556 1442570400 14.316595
2 11 "1931-05-17" NA 26.782251 NA NA
2 11 "1932-05-19" NA 38.28981 NA NA
2 11 "1933-05-21" NA 12.926161 NA NA
2 11 "1934-05-06" NA 67.440529 NA NA
2 11 "1935-06-17" NA 21.61853 NA NA
2 11 "1936-05-18" NA 22.243795 NA NA
2 11 "1937-05-06" NA 15.94155 NA NA
2 11 "1938-05-17" NA 29.467157 NA NA
2 11 "1939-05-26" NA 21.309895 NA NA
2 11 "1940-08-24" NA 24.184101 NA NA
2 11 "1941-05-25" NA 24.184101 NA NA
2 11 "1942-05-29" NA 16.727625 NA NA
2 11 "1943-05-15" NA 16.727625 NA NA
2 11 "1944-06-10" NA 33.341618 NA NA
2 11 "1945-05-15" NA 29.841743 NA NA
2 11 "1946-05-03" NA 14.298803 NA NA
2 11 "1947-05-14" NA 43.365311 NA NA
2 11 "1948-05-11" NA 20.700584 NA NA
2 11 "1949-05-06" NA 21.003916 NA NA
2 11 "1950-07-28" NA 33.744907 NA NA
2 11 "1951-08-11" NA 18.088472 NA NA
2 11 "1952-06-20" NA 29.467157 NA NA
2 11 "1953-05-17" NA 28.360346 NA NA
2 11 "1954-05-14" NA 16.463079 NA NA
2 11 "1955-06-06" NA 22.56044 NA NA
2 11 "1956-06-14" NA 14.840838 NA NA
2 11 "1957-05-17" NA 27.997042 NA NA
2 11 "1958-05-27" NA 55.549866 NA NA
2 11 "1959-04-30" NA 24.184101 NA NA
2 11 "1960-05-29" NA 21.309895 NA NA
2 11 "1961-06-02" NA 19.223366 NA NA
2 11 "1962-06-08" NA 17.536478 NA NA
2 11 "1963-05-12" NA 23.52652 NA NA
2 11 "1964-08-31" NA 10.378406 NA NA
2 11 "1965-06-07" NA 20.700584 NA NA
2 11 "1966-05-19" NA 48.725906 NA NA
2 11 "1967-05-26" NA 41.051479 NA NA
2 11 "1968-06-02" NA 18.93576 NA NA
2 11 "1969-05-25" NA 15.116281 NA NA
2 11 "1970-05-18" NA 16.201057 NA NA
2 11 "1971-05-08" NA 22.56044 NA NA
2 11 "1972-05-10" NA 14.246592 NA NA
2 11 "1973-06-02" NA 24.049143 NA NA
2 11 "1975-05-12" NA 28.04052 NA NA
2 11 "1976-05-14" NA 17.571106 NA NA
2 11 "1977-05-25" NA 23.102079 NA NA
2 11 "1978-05-24" NA 35.814919 NA NA
2 11 "1979-05-26" NA 26.337837 NA NA
2 11 "1980-05-31" NA 11.504513 NA NA
2 11 "1981-05-13" NA 25.67263 NA NA
2 11 "1982-05-31" NA 23.102079 NA NA
2 11 "1983-05-20" NA 26.004103 NA NA
2 11 "1984-05-28" NA 16.770987 NA NA
2 11 "1985-05-28" NA 39.043621 NA NA
2 11 "1986-05-06" NA 26.004103 NA NA
2 11 "1987-05-02" NA 26.337837 546983040 27.158598
2 11 "1988-05-29" NA 24.049143 580876860 25.560104
2 11 "1989-08-02" NA 29.729725 618001440 36.643185
2 11 "1990-05-04" NA 22.30748 641792340 22.716284
2 11 "1991-06-20" NA 14.272133 677438520 15.557174
2 11 "1992-05-16" NA 24.764153 706047600 28.143204
2 11 "1993-05-01" NA 28.699007 NA NA
2 11 "1994-06-07" NA 13.340149 770933400 13.820829
2 11 "1995-06-02" NA 39.532528 802073700 40.666977
2 11 "1996-05-15" NA 14.565022 832106160 16.353268
2 11 "1997-05-18" NA 18.044592 863831880 18.440495
2 11 "1998-05-17" NA 17.003613 895385820 17.485237
2 11 "1999-06-06" NA 14.738955 928700940 15.40364
2 11 "2000-05-02" NA 24.750875 957289620 25.65085
2 11 "2001-05-20" NA 17.239193 990349200 17.528397
2 11 "2002-05-13" NA 18.566784 1021291200 19.421843
2 11 "2003-08-15" NA 13.898293 1060930800 14.518871
2 11 "2004-05-07" NA 17.879475 1083913200 18.624992
2 11 "2005-05-25" NA 23.581665 1116997200 24.794409
2 11 "2006-05-09" NA 20.94322 1147136400 21.743324
2 11 "2007-05-21" NA 11.875578 1179784800 12.025809
2 11 "2008-05-05" NA 20.10145 1209974400 20.296227
2 11 "2009-05-02" NA 21.849771 1241294400 22.211151
2 11 "2010-05-21" NA 28.66341 1274425200 29.417625
2 11 "2011-08-17" NA 21.169767 1313506800 26.075754
2 11 "2012-05-24" NA 28.224941 1337846400 31.623602
2 11 "2013-05-23" NA 23.796129 1369292400 24.861475
2 11 "2014-05-24" NA 32.461075 1400896800 32.804268
2 11 "2014-05-26" NA 31.918615 1401112800 34.798641
2 11 "2015-06-08" NA 15.781325 1433718000 16.800079
2 13 "1982-06-07" NA 70.395439 NA NA
2 13 "1983-06-23" NA 96.198425 NA NA
2 13 "1984-06-03" NA 155.871368 NA NA
2 13 "1985-07-21" NA 99.859894 NA NA
2 13 "1986-06-21" NA 98.016701 519684120 102.413918
2 13 "1987-07-09" NA 81.50708 552843060 82.959175
2 13 "1988-09-04" NA 101.768204 589405200 108.331772
2 13 "1989-06-30" NA 115.652695 615154260 123.069748
2 13 "1990-06-24" NA 128.872589 646200660 130.789627
2 13 "1991-07-11" NA 69.766579 679237500 70.309006
2 13 "1992-09-25" NA 82.360725 717422820 84.041191
2 13 "1993-07-14" NA 162.741989 742640580 167.678589
2 13 "1994-07-01" NA 112.92128 773068440 115.086792
2 13 "1995-06-03" NA 139.089691 802194480 142.532944
2 13 "1996-06-10" NA 65.00293 834413760 66.822037
2 13 "1997-07-03" NA 171.839157 867914040 176.201309
2 13 "1998-06-30" NA 138.524841 899200800 141.728394
2 13 "1999-06-30" NA 147.958557 930751200 152.096863
2 13 "2000-07-03" NA 109.84478 962600400 112.12841
2 13 "2001-07-10" NA 136.244781 994798800 141.753372
2 13 "2002-07-12" NA 147.993835 1026486000 156.878098
2 13 "2003-06-07" NA 82.802132 1054972800 83.862907
2 13 "2004-05-09" NA 99.888138 1084075200 100.620323
2 13 "2005-07-07" NA 96.264809 1120716000 96.928513
2 13 "2006-06-15" NA 72.207108 1150315200 74.831848
2 13 "2007-07-06" NA 205.27005 1183665600 210.273041
2 13 "2008-06-05" NA 113.655365 1212634800 114.095428
2 13 "2009-07-21" NA 78.374016 1248202800 81.834366
2 13 "2010-07-17" NA 98.039055 1279314000 103.363808
2 13 "2011-06-12" NA 257.715363 1307844000 265.641907
2 13 "2012-07-13" NA 93.85305 1342141200 95.295097
2 13 "2013-06-03" NA 120.025932 1370253600 122.861137
2 13 "2014-07-08" NA 175.197678 1404828000 183.54306
2 13 "2015-07-07" NA 161.797913 1436288400 169.027771
2 15 "1918-07-12" NA 36.523983 NA NA
2 15 "1919-10-07" NA 22.234211 NA NA
2 15 "1920-06-22" NA 51.862419 NA NA
2 15 "1921-10-08" NA 37.756413 NA NA
2 15 "1922-07-10" NA 26.73844 NA NA
2 15 "1923-07-11" NA 60.236214 NA NA
2 15 "1924-06-23" NA 44.391506 NA NA
2 15 "1925-07-07" NA 28.718874 NA NA
2 15 "1926-06-10" NA 53.462761 NA NA
2 15 "1927-07-09" NA 50.298191 NA NA
2 15 "1928-07-18" NA 39.019688 NA NA
2 15 "1929-06-16" NA 31.892712 NA NA
2 15 "1930-05-28" NA 30.807039 NA NA
2 15 "1931-07-05" NA 41.640846 NA NA
2 15 "1932-07-07" NA 67.631989 NA NA
2 15 "1933-05-30" NA 39.019688 NA NA
2 15 "1934-05-11" NA 41.640846 NA NA
2 15 "1935-06-26" NA 48.732296 NA NA
2 15 "1936-06-13" NA 32.758266 NA NA
2 15 "1937-05-23" NA 38.003609 NA NA
2 15 "1938-06-10" NA 38.003609 NA NA
2 15 "1939-06-20" NA 40.859619 NA NA
2 15 "1940-05-28" NA 35.30526 NA NA
2 15 "1941-05-30" NA 29.208128 NA NA
2 15 "1942-11-28" NA 34.013233 NA NA
2 15 "1943-03-03" NA 34.013233 NA NA
2 21 "1981-05-25" NA 45.860661 NA NA
2 21 "1982-06-06" NA 34.56992 NA NA
2 21 "1983-06-20" NA 47.745586 NA NA
2 21 "1984-06-02" NA 41.660797 NA NA
2 21 "1985-10-01" NA 67.951134 NA NA
2 21 "1986-05-04" NA 25.338726 515584620 84.019814
2 21 "1986-06-19" NA 51.672428 519586320 71.961258
2 21 "1987-07-07" NA 39.382671 552615660 55.600967
2 21 "1987-10-16" NA 19.635036 561406200 55.678448
2 21 "1988-09-03" NA 41.660797 589294680 61.398823
