"1.37.0" "2.1.0" "2.11.0" "2.13.0" "2.15.0" "2.21.0" "2.25.0" "2.28.0" "2.32.0"
"1961-01-01" 0.266452 1.089744 1.04359 3.184058 0 1.122176 0.243931 1.654167 1.269612
"1961-01-02" 0.089032 0.894872 0 2.819876 0 0.955649 0.244986 0.683681 1.313362
"1961-01-03" 1.27871 2.094872 1.570085 7.235611 0 4.3 0.967328 5.335185 2.074353
"1961-01-04" 20.864516 7.835897 4.133333 2.717184 0.116667 1.666527 2.046293 9.371412 6.711638
"1961-01-05" 0.492903 3.984615 1.232479 0.250104 0.400794 0.099163 0.228223 4.206134 0.183405
"1961-01-06" 2.975484 3.638462 2.311966 1.616977 0 0.538494 0.335336 3.685764 4.449569
"1961-01-07" 3.370968 0 2.306838 0 0 0 0.040839 0 0
"1961-01-08" 0.058065 0 0.417094 0 0 0 0 0 0
"1961-01-09" 1.514839 0.135897 0 0 0 0 0 0 0
"1961-01-10" 13.916774 0.966667 0 0 0 0 0 0 0
"1961-01-11" 0 1.012821 0.335043 0 1.415873 0 0.187635 0 0
"1961-01-12" 0 0 0 0.026294 0.129365 0.013389 0.101784 0 0
"1961-01-13" 10.503226 11.992308 2.752991 9.041201 6.445238 11.001674 9.12865 2.127083 1.103448
"1961-01-14" 0 0 0.876923 2.908696 29.416667 4.106276 12.316361 0.000579 2.394181
"1961-01-15" 0 0.025641 0.177778 4.086749 18.890476 3.013808 6.483287 0 0.17069
"1961-01-16" 0 0 0.011966 1.065217 0.554762 0.567782 0.937648 0 0
"1961-01-17" 0 0 0 0 0 0 0 0 0
"1961-01-18" 0 0.025641 0.138462 0 0.485714 0 0.173285 0.227083 0
"1961-01-19" 0 0 0 0.078054 1.492063 0.076151 0.775848 0.177199 0
"1961-01-20" 0 0 0.000855 0 0.214286 0 0.075873 0.333449 0.003448
"1961-01-21" 0 0 0.087179 0.001242 0 0 0.000302 0.086227 0
"1961-01-22" 0 0 0.058974 0 0 0 0 0 0
"1961-01-23" 2.976129 0.869231 0.145299 0.006004 0 0 0.065318 0.364699 0.309914
"1961-01-24" 0 0 0 0.000828 0 0 0.000176 0.066319 0
"1961-01-25" 0.032903 0 0.058974 0.161077 0 0.058159 0.004599 0.003588 0.294612
"1961-01-26" 0 0 0.138462 0 0 0 0 0 0
"1961-01-27" 0 0 0.058974 0 0 0 0 0 0
"1961-01-28" 4.220645 0.025641 2.311111 6.891925 9.820635 5.106695 6.712893 1.899421 1.126293
"1961-01-29" 8.885806 4.582051 2.748718 14.487164 3.744444 12.267782 6.21993 7.66875 4.224784
"1961-01-30" 19.521935 7.328205 5.574359 10.038302 0 4.323013 2.059563 9.801968 2.139009
"1961-01-31" 0.730323 0.25641 1.136752 1.229193 0.888889 0.864017 1.207439 0.024769 0.040733
