"1.37.0" "2.1.0" "2.11.0" "2.13.0" "2.15.0" "2.21.0" "2.25.0" "2.28.0" "2.32.0"
"1961-01-01" 3.168595 0.251282 0.222222 0.537267 0.545238 0.17113 0.243855 0.258912 0.205172
"1961-01-02" 2.831405 0.251282 0.220513 0.533333 0.530952 0.170711 0.24006 0.254861 0.204741
"1961-01-03" 2.602479 0.248718 0.219658 0.547412 0.522222 0.169456 0.236567 0.258218 0.204526
"1961-01-04" 3.256198 0.248718 0.223932 0.534783 0.511111 0.169038 0.234531 0.26794 0.210345
"1961-01-05" 4.435537 0.24359 0.221368 0.516977 0.500794 0.166527 0.229806 0.260995 0.204741
"1961-01-06" 3.590083 0.24359 0.222222 0.510352 0.494444 0.166527 0.226238 0.257407 0.206466
"1961-01-07" 2.857025 0.241026 0.224786 0.497308 0.483333 0.164854 0.222116 0.252083 0.202802
"1961-01-08" 2.563636 0.241026 0.220513 0.482816 0.47619 0.16318 0.217894 0.247106 0.200431
"1961-01-09" 2.329752 0.235897 0.218803 0.471222 0.469048 0.160669 0.211561 0.24213 0.197414
"1961-01-10" 2.172727 0.230769 0.217949 0.461284 0.457937 0.158996 0.205831 0.238194 0.191379
"1961-01-11" 1.93719 0.230769 0.217949 0.447826 0.457937 0.148954 0.201181 0.233681 0.180819
"1961-01-12" 1.738843 0.225641 0.215385 0.441615 0.453968 0.120921 0.194019 0.228472 0.163362
"1961-01-13" 1.638017 0.235897 0.211111 0.462526 0.480159 0.124686 0.214174 0.225231 0.140086
"1961-01-14" 1.456198 0.228205 0.208547 0.448033 0.635714 0.119665 0.243202 0.221528 0.139009
"1961-01-15" 1.302479 0.220513 0.195726 0.428571 0.705556 0.115063 0.244735 0.216898 0.134267
"1961-01-16" 1.180165 0.220513 0.179487 0.4147 0.655556 0.110879 0.233878 0.213194 0.131681
"1961-01-17" 1.075207 0.215385 0.167521 0.402484 0.627778 0.108368 0.227092 0.209375 0.129741
"1961-01-18" 0.969421 0.215385 0.159829 0.392133 0.607937 0.106695 0.218824 0.206366 0.128233
"1961-01-19" 0.882645 0.215385 0.152137 0.384058 0.594444 0.104603 0.212591 0.202083 0.127155
"1961-01-20" 0.803306 0.215385 0.14188 0.375776 0.573016 0.101255 0.20578 0.196528 0.125216
"1961-01-21" 0.731405 0.215385 0.132479 0.365839 0.561905 0.100418 0.200452 0.194097 0.11875
"1961-01-22" 0.659504 0.210256 0.129915 0.358385 0.542063 0.09749 0.194798 0.188889 0.110991
"1961-01-23" 0.602479 0.210256 0.128205 0.350725 0.525397 0.095816 0.189445 0.185995 0.11056
"1961-01-24" 0.573554 0.205128 0.125641 0.341822 0.513492 0.093724 0.184996 0.18125 0.109698
"1961-01-25" 0.561983 0.205128 0.123932 0.335611 0.499206 0.093305 0.18095 0.175579 0.109483
"1961-01-26" 0.534711 0.205128 0.117949 0.327122 0.488095 0.092887 0.177406 0.170486 0.109052
"1961-01-27" 0.518182 0.205128 0.116239 0.319255 0.476984 0.09205 0.173586 0.165509 0.108621
"1961-01-28" 0.539669 0.205128 0.129915 0.348861 0.539683 0.097908 0.197587 0.164931 0.108405
"1961-01-29" 0.567769 0.207692 0.130769 0.39234 0.534921 0.101255 0.197889 0.171991 0.117241
"1961-01-30" 1.449587 0.217949 0.131624 0.405176 0.507143 0.09749 0.190525 0.173264 0.117672
"1961-01-31" 2.27438 0.205128 0.130769 0.380952 0.5 0.096234 0.186479 0.159491 0.112716
