"1.37.0" "2.1.0" "2.11.0" "2.13.0" "2.15.0" "2.21.0" "2.25.0" "2.28.0" "2.32.0"
"1961-01-01" 0 0 0 0 0 0 0 0 0
"1961-01-02" 0 0 0 0 0 0 0 0 0
"1961-01-03" 0.296774 0 0 0 0 0 0 0 0
"1961-01-04" 20.864516 0 0 0 0.000794 0 2.5e-05 0 0
"1961-01-05" 0.492903 0 0 0 0 0 0 0 0
"1961-01-06" 0 0 0 0 0 0 0 0 0
"1961-01-07" 0 0 0 0 0 0 0 0 0
"1961-01-08" 0 0 0 0 0 0 0 0 0
"1961-01-09" 0 0 0 0 0 0 0 0 0
"1961-01-10" 0 0 0 0 0 0 0 0 0
"1961-01-11" 0 0 0 0 0 0 0 0 0
"1961-01-12" 0 0 0 0 0 0 0 0 0
"1961-01-13" 0 0 0 0 0 0 0 0 0
"1961-01-14" 0 0 0 0 0.281746 0 0.008922 0 0
"1961-01-15" 0 0 0 0 12.333333 0.118828 0.42385 0 0
"1961-01-16" 0 0 0 0 0.415079 0 0.015707 0 0
"1961-01-17" 0 0 0 0 0 0 0 0 0
"1961-01-18" 0 0 0 0 0 0 0 0 0
"1961-01-19" 0 0 0 0 0 0 0 0 0
"1961-01-20" 0 0 0 0 0 0 0 0 0
"1961-01-21" 0 0 0 0 0 0 0 0 0
"1961-01-22" 0 0 0 0 0 0 0 0 0
"1961-01-23" 0 0 0 0 0 0 0 0 0
"1961-01-24" 0 0 0 0 0 0 0 0 0
"1961-01-25" 0 0 0 0 0 0 0 0 0
"1961-01-26" 0 0 0 0 0 0 0 0 0
"1961-01-27" 0 0 0 0 0 0 0 0 0
"1961-01-28" 0 0 0 0 0 0 0 0 0
"1961-01-29" 0 0 0 0 2.778571 0 0.13232 0 0
"1961-01-30" 19.521935 0 0 0 0 0 0 0 0
"1961-01-31" 0.730323 0 0 0 0 0 0 0 0
