"1.37.0" "2.1.0" "2.11.0" "2.13.0" "2.15.0" "2.21.0" "2.25.0" "2.28.0" "2.32.0"
"1961-01-01" 0.00645 0 0 0 0 0 0 0 0
"1961-01-02" 0 0 0 0 0 0 0 0 0
"1961-01-03" 0.89677 0 0 0 0 0 0 0 0
"1961-01-04" 1.94839 0 0 0 0 0 0 0 0
"1961-01-05" 1.12258 0 0 0 0 0 0 0 0
"1961-01-06" 0 0 0 0 0 0 0 0 0
"1961-01-07" 0 0 0 0 0 0 0 0 0
"1961-01-08" 0 0 0 0 0 0 0 0 0
"1961-01-09" 0 0 0 0 0 0 0 0 0
"1961-01-10" 0 0 0 0 0 0 0 0 0
"1961-01-11" 0 0 0 0 0 0 0 0 0
"1961-01-12" 0 0 0 0 0 0 0 0 0
"1961-01-13" 0 0 0 0 0 0 0 0 0
"1961-01-14" 0 0 0 0 0.07143 0 0.00226 0 0
"1961-01-15" 0 0 0 0 1.19048 0.34728 0.36064 0 0.0431
"1961-01-16" 0 0 0 0 1.63492 0 0.3996 0 0.00431
"1961-01-17" 0 0 0 0 0 0 0 0 0
"1961-01-18" 0 0 0 0 0 0 0 0 0
"1961-01-19" 0 0 0 0 0 0 0 0 0
"1961-01-20" 0 0 0 0 0 0 0 0 0
"1961-01-21" 0 0 0 0 0 0 0 0 0
"1961-01-22" 0 0 0 0 0 0 0 0 0
"1961-01-23" 0 0 0 0 0 0 0 0 0
"1961-01-24" 0 0 0 0 0 0 0 0 0
"1961-01-25" 0 0 0 0 0 0 0 0 0
"1961-01-26" 0 0 0 0 0 0 0 0 0
"1961-01-27" 0 0 0 0 0 0 0 0 0
"1961-01-28" 0 0 0 0 0.01587 0 5e-04 0 0
"1961-01-29" 0 0 0 0 3.4127 0 0.1523 0 0
"1961-01-30" 5 0 0 0 0 0 0 0 0
"1961-01-31" 4.18065 0 0 0 0 0 0 0 0
