"1.37.0" "2.1.0" "2.11.0" "2.13.0" "2.15.0" "2.21.0" "2.25.0" "2.28.0" "2.32.0"
"1961-01-01" -0.14516100000003 -4.26410299999998 -7.887179 -13.130849 -0.761905000000013 -12.556904 -7.97506900000002 -4.85185200000001 -7.55732800000004
"1961-01-02" -0.309032000000002 -4.21794900000003 -9.273504 -13.961077 -1.53015900000003 -14.558577 -9.48708200000004 -3.776273 -7.39935300000002
"1961-01-03" 0.441289999999981 -3.94102600000002 -8.751282 -13.618634 -0.771429000000012 -13.78159 -8.79444600000005 -3.69942099999997 -7.56530200000003
"1961-01-04" 1.18451599999997 -2.46666700000003 -5.797436 -12.5190480000001 -0.900000000000034 -10.520084 -6.48459400000002 -3.05578700000001 -6.55258600000002
"1961-01-05" 0.910967999999968 -2.12051300000002 -11.877778 -15.369151 -3.047619 -12.141423 -8.35622000000001 -6.08495400000004 -11.806897
"1961-01-06" -0.436128999999994 -4.205128 -15.07265 -18.442029 -5.18571400000002 -17.2159 -12.7963810000001 -10.17581 -15.838362
"1961-01-07" -1.69354800000002 -9.91282100000001 -13.72906 -21.167288 -6.77539700000005 -20.265272 -15.527067 -16.515972 -19.034698
"1961-01-08" -5.37032300000004 -18.382051 -21.316239 -22.244306 -6.58095199999997 -21.074477 -16.592109 -20.365509 -23.836207
"1961-01-09" -3.81741900000003 -20.505128 -29.971795 -23.697723 -6.22301600000003 -23.115481 -18.15152 -22.065162 -26.975647
"1961-01-10" -3.68645200000003 -20.351282 -35.01453 -24.822567 -8.842063 -25.172803 -20.722116 -21.800347 -28.958621
"1961-01-11" -8.64645200000001 -20.5 -27.584615 -23.171222 -10.235714 -22.979498 -19.699397 -20.39537 -24.233836
"1961-01-12" -12.172258 -22.453846 -22.921368 -21.978261 -7.297619 -20.70795 -16.782131 -20.03912 -21.608621
"1961-01-13" -4.94322600000004 -16.220513 -18.301709 -16.741615 -2.62539700000002 -13.970711 -10.778914 -15.958681 -17.195259
"1961-01-14" -0.858710000000031 -15.969231 -15.260684 -10.94824 -0.827778000000023 -7.77071100000001 -6.15715 -13.011806 -9.34590500000002
"1961-01-15" -1.01935500000002 -19.453846 -8.000855 -5.59855099999999 0.19047599999999 -2.064435 -1.62495600000005 -11.903356 -3.43706900000001
"1961-01-16" -2.16709700000001 -13.253846 -1.68974400000002 -6.581366 0.408729999999991 -3.91882800000002 -1.72234199999997 -5.36469900000003 -2.06896599999999
"1961-01-17" -3.11290300000002 -8.76666700000004 -10.894872 -11.922567 -3.03809500000006 -9.90251000000001 -6.88404099999997 -7.84270800000002 -9.42607800000002
"1961-01-18" -2.98193500000002 -5.92051299999997 -14.688034 -16.883644 -1.82381000000004 -15.683264 -10.524328 -12.19375 -16.817241
"1961-01-19" -5.61161299999998 -10.128205 -17.358974 -18.298965 -2.15000000000003 -16.782008 -11.287861 -12.106481 -18.692672
"1961-01-20" -8.655484 -12.961538 -25.948718 -22.989648 -3.528571 -21.584519 -14.689269 -15.034375 -21.262931
"1961-01-21" -9.22322600000001 -15.464103 -26.033333 -22.986542 -7.58254000000005 -23.176569 -17.974541 -17.455787 -22.383621
"1961-01-22" -9.44322600000004 -17.061538 -15.2709400000001 -17.569772 -7.53015900000003 -17.588285 -15.057351 -13.992824 -13.915517
"1961-01-23" -7.52645200000001 -12.130769 -10.792308 -15.845549 -5.38730200000003 -15.078243 -11.763232 -9.80162000000001 -10.90819
"1961-01-24" -7.93290300000001 -11.815385 -16.684615 -18.42029 -8.30317500000001 -17.483264 -14.440764 -14.226042 -18.518319
"1961-01-25" -11.134839 -18.917949 -24.954701 -21.792961 -9.88809500000002 -21.566109 -17.938251 -17.612616 -23.784483
"1961-01-26" -15.390968 -24.441026 -27.998291 -23.310559 -11.13254 -23.100837 -19.525258 -19.090394 -24.521767
"1961-01-27" -12.25871 -26.546154 -26.282051 -21.012215 -9.664286 -20.674059 -17.890274 -20.825463 -21.190733
"1961-01-28" -3.98967699999997 -14.55641 -15.426496 -15.598137 -1.490476 -12.964017 -9.10319199999998 -13.343287 -13.349784
"1961-01-29" -0.428387000000043 -4.79230799999999 -5.13247900000005 -12.0853 1.26031699999999 -8.31004200000001 -4.37197800000001 -5.98310200000003 -6.42456900000002
"1961-01-30" 1.92193499999996 -2.58461499999999 -8.16581200000002 -11.904141 -2.06904800000001 -9.01046000000002 -6.04453400000006 -5.01770800000003 -7.461207
"1961-01-31" 1.64258100000001 -9.45641000000001 -13.82906 -10.170393 -1.65555599999999 -7.09832599999999 -5.61281700000001 -8.24965300000002 -9.66961200000003
