"regine" "main" "date" "FGP" "flood.1" "threshold"
1 37 "1914-12-09" NA 48.425167 43.5803633200001
1 37 "1916-01-27" NA 51.936684 43.5803633200001
1 37 "1917-04-25" NA 48.425167 43.5803633200001
1 37 "1917-10-28" NA 47.739124 43.5803633200001
1 37 "1920-02-15" NA 44.389744 43.5803633200001
1 37 "1920-03-08" NA 58.601326 43.5803633200001
1 37 "1923-01-05" NA 47.058483 43.5803633200001
1 37 "1923-10-25" NA 47.058483 43.5803633200001
1 37 "1923-11-19" NA 49.813492 43.5803633200001
1 37 "1924-05-09" NA 47.058483 43.5803633200001
1 37 "1924-09-15" NA 69.858887 43.5803633200001
1 37 "1925-01-03" NA 66.530914 43.5803633200001
1 37 "1926-11-22" NA 43.735981 43.5803633200001
1 37 "1927-01-31" NA 63.292377 43.5803633200001
1 37 "1927-03-08" NA 58.601326 43.5803633200001
1 37 "1927-07-01" NA 76.785042 43.5803633200001
1 37 "1927-10-04" NA 77.676277 43.5803633200001
1 37 "1927-11-04" NA 45.048862 43.5803633200001
2 1 "1990-04-27" NA 6.284447 5.67756
2 1 "1990-09-20" NA 5.787579 5.67756
2 1 "1991-04-14" NA 6.284447 5.67756
2 1 "1991-06-20" NA 5.950392 5.67756
2 1 "1992-05-04" NA 11.547069 5.67756
2 1 "1993-05-04" NA 13.134673 5.67756
2 1 "1993-10-08" NA 5.950392 5.67756
2 1 "1994-05-10" NA 9.190115 5.67756
2 1 "1995-05-07" NA 7.550869 5.67756
2 1 "1995-05-27" NA 7.940846 5.67756
2 1 "1995-06-09" NA 6.284447 5.67756
2 1 "1996-10-19" NA 5.705818 5.67756
2 1 "1997-05-08" NA 16.40497 5.67756
2 1 "1998-04-29" NA 12.402596 5.67756
2 1 "1998-10-24" NA 6.942304 5.67756
2 1 "2000-05-02" NA 10.361597 5.67756
2 1 "2000-10-13" NA 6.589247 5.67756
2 1 "2000-11-09" NA 5.875567 5.67756
2 1 "2001-05-03" NA 6.425123 5.67756
2 1 "2001-05-10" NA 6.603717 5.67756
2 1 "2002-04-24" NA 7.97236 5.67756
2 1 "2002-05-02" NA 7.411185 5.67756
2 1 "2002-07-11" NA 6.74467 5.67756
2 1 "2003-05-07" NA 7.631213 5.67756
2 1 "2004-04-27" NA 8.931619 5.67756
2 1 "2004-09-21" NA 7.381752 5.67756
2 1 "2005-11-04" NA 8.255469 5.67756
2 1 "2006-05-06" NA 9.590154 5.67756
2 1 "2006-09-04" NA 10.382213 5.67756
2 1 "2006-10-20" NA 6.005359 5.67756
2 1 "2006-11-18" NA 8.764642 5.67756
2 1 "2006-12-12" NA 5.749945 5.67756
2 1 "2007-04-26" NA 8.92697 5.67756
