"regine" "main" "date" "flood" "threshold"
2 1 1990-04-27 6.284447 5.67756
2 1 1990-09-20 5.787579 5.67756
2 1 1991-04-14 6.284447 5.67756
2 1 1991-06-20 5.950392 5.67756
2 1 1992-05-04 11.547069 5.67756
2 1 1993-05-04 13.134673 5.67756
2 1 1993-10-08 5.950392 5.67756
2 1 1994-05-10 9.190115 5.67756
2 1 1995-05-07 7.550869 5.67756
2 1 1995-05-27 7.940846 5.67756
2 1 1995-06-09 6.284447 5.67756
2 1 1996-10-19 5.705818 5.67756
2 1 1997-05-08 16.40497 5.67756
2 1 1998-04-29 12.402596 5.67756
2 1 1998-10-24 6.942304 5.67756
2 1 2000-05-02 10.361597 5.67756
2 1 2000-10-13 6.589247 5.67756
2 1 2000-11-09 5.875567 5.67756
2 1 2001-05-03 6.425123 5.67756
2 1 2001-05-10 6.603717 5.67756
2 1 2002-04-24 7.97236 5.67756
2 1 2002-05-02 7.411185 5.67756
2 1 2002-07-11 6.74467 5.67756
2 1 2003-05-07 7.631213 5.67756
2 1 2004-04-27 8.931619 5.67756
2 1 2004-09-21 7.381752 5.67756
2 1 2005-11-04 8.255469 5.67756
2 1 2006-05-06 9.590154 5.67756
2 1 2006-09-04 10.382213 5.67756
2 1 2006-10-20 6.005359 5.67756
2 1 2006-11-18 8.764642 5.67756
2 1 2006-12-12 5.749945 5.67756
2 1 2007-04-26 8.92697 5.67756
2 1 2008-05-03 10.732836 5.67756
2 1 2008-05-24 7.512885 5.67756
2 1 2009-04-28 8.82314 5.67756
2 1 2009-11-24 8.644526 5.67756
2 1 2010-05-01 5.692773 5.67756
2 1 2010-05-16 6.420375 5.67756
2 1 2010-06-13 7.379414 5.67756
2 1 2010-08-29 7.106422 5.67756
2 1 2010-09-25 7.642576 5.67756
2 1 2011-09-06 7.117255 5.67756
2 1 2012-04-28 7.44154 5.67756
2 1 2012-05-11 8.2391 5.67756
2 1 2012-11-12 8.658179 5.67756
2 1 2012-11-22 7.251006 5.67756
2 1 2013-04-19 8.873301 5.67756
2 1 2013-05-07 6.173909 5.67756
2 1 2014-04-29 5.839919 5.67756
2 1 2014-05-18 7.833827 5.67756
2 1 2014-05-25 11.478114 5.67756
2 1 2014-10-25 11.736958 5.67756
2 1 2015-05-07 9.768884 5.67756
2 1 2015-09-18 12.538556 5.67756
2 15 1918-07-12 36.523983 29.208128
2 15 1920-06-22 51.862419 29.208128
2 15 1921-10-08 37.756413 29.208128
2 15 1923-07-11 60.236214 29.208128
2 15 1924-06-23 44.391506 29.208128
2 15 1926-06-10 53.462761 29.208128
2 15 1926-07-16 30.807039 29.208128
2 15 1927-07-09 50.298191 29.208128
2 15 1928-07-18 39.019688 29.208128
2 15 1929-06-16 31.892712 29.208128
2 15 1930-05-28 30.807039 29.208128
2 15 1931-05-27 29.749254 29.208128
2 15 1931-07-05 41.640846 29.208128
2 15 1932-06-02 30.807039 29.208128
2 15 1932-06-20 29.749254 29.208128
2 15 1932-07-07 67.631989 29.208128
2 15 1933-05-30 39.019688 29.208128
2 15 1934-05-11 41.640846 29.208128
2 15 1934-06-19 33.006752 29.208128
2 15 1935-06-16 45.453445 29.208128
2 15 1935-06-26 48.732296 29.208128
2 15 1936-06-13 32.758266 29.208128
2 15 1937-05-23 38.003609 29.208128
2 15 1937-06-10 32.758266 29.208128
2 15 1938-06-10 38.003609 29.208128
2 15 1938-07-10 35.30526 29.208128
2 15 1939-06-06 36.635124 29.208128
2 15 1939-06-20 40.859619 29.208128
2 15 1940-05-28 35.30526 29.208128
2 15 1942-06-08 30.356464 29.208128
2 15 1942-06-18 30.356464 29.208128
2 15 1942-07-08 30.356464 29.208128
2 15 1942-11-28 34.013233 29.208128
2 15 1943-03-03 34.013233 29.208128
2 15 1943-06-13 34.013233 29.208128
2 11 1931-05-17 26.782251 13.5700218
2 11 1931-05-25 19.964977 13.5700218
2 11 1932-05-19 38.28981 13.5700218
2 11 1932-05-30 21.47777 13.5700218
2 11 1934-05-06 67.440529 13.5700218
2 11 1935-05-29 14.298803 13.5700218
2 11 1935-06-08 15.676043 13.5700218
2 11 1935-06-17 21.61853 13.5700218
2 11 1936-05-18 22.243795 13.5700218
2 11 1937-05-06 15.94155 13.5700218
2 11 1938-05-17 29.467157 13.5700218
2 11 1938-05-30 16.727625 13.5700218
2 11 1939-05-26 21.309895 13.5700218
2 11 1939-06-19 14.840838 13.5700218
2 11 1939-07-03 14.298803 13.5700218
2 11 1940-08-24 24.184101 13.5700218
2 11 1941-05-25 24.184101 13.5700218
2 11 1942-05-29 16.727625 13.5700218
2 11 1943-05-15 16.727625 13.5700218
2 11 1943-05-24 14.840838 13.5700218
2 11 1944-05-31 17.264317 13.5700218
2 11 1944-06-10 33.341618 13.5700218
2 11 1945-05-15 29.841743 13.5700218
2 11 1945-05-31 25.875828 13.5700218
2 11 1946-05-03 14.298803 13.5700218
2 11 1947-05-14 43.365311 13.5700218
2 11 1948-05-11 20.700584 13.5700218
2 11 1949-05-06 21.003916 13.5700218
2 11 1949-05-20 18.088472 13.5700218
2 11 1949-06-05 19.223366 13.5700218
2 11 1949-08-04 13.768495 13.5700218
2 11 1950-05-13 29.467157 13.5700218
2 11 1950-06-05 17.811193 13.5700218
2 11 1950-06-16 33.341618 13.5700218
2 11 1950-07-28 33.744907 13.5700218
2 11 1951-06-04 14.840838 13.5700218
2 11 1951-08-11 18.088472 13.5700218
2 11 1952-05-07 15.94155 13.5700218
2 11 1952-06-20 29.467157 13.5700218
2 11 1953-05-17 28.360346 13.5700218
2 11 1953-06-05 24.184101 13.5700218
2 11 1954-05-14 16.463079 13.5700218
2 11 1954-05-24 15.394677 13.5700218
2 11 1955-06-06 22.56044 13.5700218
2 11 1955-06-23 20.101826 13.5700218
2 11 1956-06-14 14.840838 13.5700218
2 11 1957-05-17 27.997042 13.5700218
2 11 1957-09-14 13.768495 13.5700218
2 11 1958-05-27 55.549866 13.5700218
2 11 1959-04-30 24.184101 13.5700218
2 11 1959-05-13 16.201057 13.5700218
2 11 1960-05-16 19.513575 13.5700218
2 11 1960-05-29 21.309895 13.5700218
2 11 1961-06-02 19.223366 13.5700218
2 11 1962-05-24 16.201057 13.5700218
2 11 1962-06-08 17.536478 13.5700218
2 11 1963-05-12 23.52652 13.5700218
2 11 1965-06-07 20.700584 13.5700218
2 11 1966-05-19 48.725906 13.5700218
2 11 1967-05-26 41.051479 13.5700218
2 11 1968-05-01 18.088472 13.5700218
2 11 1968-06-02 18.93576 13.5700218
2 11 1969-05-25 15.116281 13.5700218
2 11 1970-05-18 16.201057 13.5700218
2 11 1970-05-26 15.394677 13.5700218
2 11 1971-05-08 22.56044 13.5700218
2 11 1972-05-10 14.246592 13.5700218
2 11 1973-06-02 24.049143 13.5700218
2 11 1973-07-21 14.733979 13.5700218
2 11 1975-05-12 28.04052 13.5700218
2 11 1976-05-14 17.571106 13.5700218
2 11 1977-05-25 23.102079 13.5700218
2 11 1978-05-24 35.814919 13.5700218
2 11 1979-05-18 23.102079 13.5700218
2 11 1979-05-26 26.337837 13.5700218
2 11 1981-05-13 25.67263 13.5700218
2 11 1982-05-31 23.102079 13.5700218
2 11 1983-05-20 26.004103 13.5700218
2 11 1984-05-03 15.734953 13.5700218
2 11 1984-05-18 15.481428 13.5700218
2 11 1984-05-28 16.770987 13.5700218
2 11 1985-05-28 39.043621 13.5700218
2 11 1985-09-10 15.481428 13.5700218
2 11 1986-05-06 26.004103 13.5700218
2 11 1987-05-02 26.337837 13.5700218
2 11 1987-05-26 14.489197 13.5700218
2 11 1987-06-10 16.508684 13.5700218
2 11 1987-06-18 17.571106 13.5700218
2 11 1988-05-17 18.115549 13.5700218
2 11 1988-05-29 24.049143 13.5700218
2 11 1989-08-02 29.729725 13.5700218
2 11 1990-05-04 22.30748 13.5700218
2 11 1991-06-20 14.272133 13.5700218
2 11 1992-05-16 24.764153 13.5700218
2 11 1993-05-01 28.699007 13.5700218
2 11 1993-05-17 16.745056 13.5700218
2 11 1995-06-02 39.532528 13.5700218
2 11 1996-05-15 14.565022 13.5700218
2 11 1997-05-18 18.044592 13.5700218
2 11 1997-06-03 17.755781 13.5700218
2 11 1998-05-17 17.003613 13.5700218
2 11 1999-05-23 14.541799 13.5700218
2 11 1999-06-06 14.738955 13.5700218
2 11 2000-05-02 24.750875 13.5700218
2 11 2001-05-20 17.239193 13.5700218
2 11 2002-05-13 18.566784 13.5700218
2 11 2003-08-15 13.898293 13.5700218
2 11 2004-05-07 17.879475 13.5700218
2 11 2005-05-25 23.581665 13.5700218
2 11 2006-05-09 20.94322 13.5700218
2 11 2008-05-05 20.10145 13.5700218
2 11 2009-05-02 21.849771 13.5700218
2 11 2010-05-21 28.66341 13.5700218
2 11 2010-06-13 13.979768 13.5700218
2 11 2011-04-25 17.155468 13.5700218
2 11 2011-08-17 21.169767 13.5700218
2 11 2012-05-24 28.224941 13.5700218
2 11 2013-05-13 19.506512 13.5700218
2 11 2013-05-23 23.796129 13.5700218
2 11 2014-05-24 32.461075 13.5700218
2 11 2015-06-08 15.781325 13.5700218
2 13 1983-06-23 96.198425 79.74234424
2 13 1983-07-13 83.142982 79.74234424
2 13 1984-06-03 155.871368 79.74234424
2 13 1985-05-30 85.670204 79.74234424
2 13 1985-06-29 90.848083 79.74234424
2 13 1985-07-21 99.859894 79.74234424
2 13 1986-06-21 98.016701 79.74234424
2 13 1987-07-09 81.50708 79.74234424
